Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
2002,5,28,4,4,22.5,,,ARGENTINA:  AMINGA  ANILLACO  AGUA BLANCA  CHUQUIS,-28.937,-66.797,22,6,,,,,,27,1,,2,40,1,40,1,,,,,27,1,,2,40,1,,3
2002,6,20,5,40,43.3,,,BANGLADESH:  RANGPUR  THAKURGAON  ALMANAGAR,25.842,88.932,40,4.5,,,,,,55,2,,1,,,,2,,,,,55,2,,1,,,,2
2002,6,22,2,58,21.3,,,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,35.626,49.047,10,6.5,8,261,3,,,1300,4,300,4,,4,,4,261,3,,,1300,4,300,4,4,4,,
2002,7,22,5,45,3,,,GERMANY:  AACHEN  COLOGNE  SPANGDAHLEM,50.889,6.103,17,4.8,,,,,,,,,1,,,,,,,,,,,,1,,,,
2002,7,31,0,16,44.6,,,PANAMA:  BARU  ALANJE  DAVID; COSTA RICA:  LAUREL,7.929,-82.793,10,6.5,7,,,,,11,1,,2,,2,,3,,,,,11,1,,2,,2,,3
2002,8,8,11,42,5,,,CHINA:  SICHUAN PROVINCE:  RULONG,30.916,99.927,33,5.3,,,,,,,,,1,8,1,8,1,,,,,,,,1,8,1,,
2002,8,14,13,57,52.1,,,NORTHERN MARIANA ISLANDS:  SAIPAN,14.101,146.199,30,6.5,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
2002,8,15,5,30,26.2,,,INDONESIA:   SULAWESI:  TOJO,-1.196,121.333,10,6.2,,48,1,,,,,,2,,,200,3,48,1,,,,,,2,,,200,3
2002,8,19,11,1,1.1,,,FIJI ISLANDS,-21.696,-179.513,580,7.7,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8,19,11,8,24.3,,,FIJI ISLANDS,-23.884,178.495,675,7.7,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8,24,20,1,18.3,,,EGYPT:  CAIRO,30.2,31.41,10,4.4,,,,,,,,,1,,,44,1,,,,,,,,1,,,44,1
2002,9,2,1,0,3.2,,,IRAN: KAK  RAZAN  SIZAN,35.701,48.838,10,5.2,,,,,,,,,1,,,,,,,,,,,,1,,,,1
2002,9,5,11,3,5.8,,,KYRGYZSTAN,39.77,72.007,32,5.5,,,,,,,,,1,,,,,,,,,,,,1,,,,
2002,9,6,1,21,28.6,,,ITALY:  SICILY:  PALERMO,38.381,13.701,5,6,,2,1,,,20,1,500,4,,,,2,2,1,,,20,1,500,4,,,,2
2002,9,8,18,44,25.5,2398,,PAPUA NEW GUINEA:  KAIRIRU IS  MUSCHU IS  WEWAK,-3.26,142.94,13,7.6,,4,1,,,70,2,,3,,1,873,3,4,1,,,70,2,,3,,1,873,3
2002,9,13,22,28,29.4,2399,,INDIA:  ANDAMAN ISLANDS:  RONGAT  DIGLIPUR ARIEL BAY,13.036,93.068,21,6.5,,2,1,,,,,,1,40,1,,1,2,1,,,,,,2,40,1,,1
2002,9,20,15,43,35.4,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  RANSIKI,-1.68,134.234,10,6.4,,,,,,,,,1,,,31,1,,,,,,,,1,,,31,1
2002,9,22,23,53,14.6,,,UNITED KINGDOM:  MANSFIELD  DUDLEY,52.52,-2.15,9,4.8,6,,,,,1,1,,1,,,,,,,,,1,1,,1,,,,
2002,9,25,18,14,48.5,,,MEXICO:  ACAPULCO,16.87,-100.113,6,5.3,,,,,,2,1,,1,,,,2,,,,,2,1,,1,,,,2
2002,9,25,22,28,11.9,,,IRAN:  MASJED-E SOLEYMAN,31.995,49.329,10,5.6,,,,,,5,1,,2,,,,,,,,,5,1,,2,,,,3
2002,9,30,6,44,48,,,FRANCE:  HENNEBONT  LANGUIDIC  LORIENT  TREMOREL,47.832,-3.207,10,4.2,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
2002,10,10,10,50,20.5,2400,,INDONESIA: NEW GUINEA: MANOKWARI  ORANSBARI  RANSIKI,-1.757,134.297,10,7.6,,8,1,,,632,3,,3,1000,3,900,3,8,1,,,632,3,,3,1000,3,900,3
2002,10,23,11,27,19.4,,,ALASKA:  CANTWELL  DENALI NATL PARK,63.514,-147.912,4,6.7,8,,,,,,,,2,,,,,,,,,,,,2,,,,
2002,10,24,6,8,37.9,,,CONGO: GOMA  LWIRO  BUKAVU; RWANDA:  MUGERA  KIGALI,-1.884,29.004,11,6.2,,2,1,,,,,,1,,2,,,2,1,,,,,,1,,2,,
2002,10,29,10,2,21.5,,5487,ITALY:  SICILY:  SANTA VENERINA,37.67,15.267,10,4.3,8,,,,,9,1,,1,,,,2,,,,,9,1,,1,,,,2
2002,10,31,10,32,58.7,,,ITALY:  SAN GUILIANO DI PUGLIA  CAMPOBASSO,41.789,14.872,10,5.7,,29,1,,,135,3,796,4,,,,4,29,1,,,135,3,796,4,,,,4
2002,11,1,22,9,29.2,,,PAKISTAN:  GILGIT,35.517,74.654,33,5.4,,11,1,,,40,1,,3,,3,,3,11,1,,,40,1,,3,,,1000,4
2002,11,2,1,26,10.7,,,INDONESIA:  SUMATERA:  SIMEULUE,2.824,96.085,30,7.3,,3,1,,,65,2,,3,,,994,3,3,1,,,65,2,,3,,,994,3
2002,11,3,22,12,41,,,ALASKA:  SLANA  MENTASTA LAKE  FAIRBANKS,63.517,-147.444,5,7.9,9,,,,,1,1,56,4,,,,,,,,,1,1,56,4,,,,
2002,11,20,21,32,30.8,,,PAKISTAN:  DASHKIN  DOIAN  MUSHKIN,35.414,74.515,33,6.3,,19,1,,,40,1,,3,100,2,100,2,19,1,,,40,1,,3,100,2,1256,4
2002,11,27,16,43,17.5,,,VANUATU ISLANDS: MERE LAVA ISLAND,-14.49,167.827,33,5.9,,,,,,3,1,,2,,,,,,,,,3,1,,2,,,100,2
2002,12,2,4,58,55.1,,,GREECE:  MEGALOPOLIS  VARTHOLOMION,37.747,21.087,10,5.7,,,,,,17,1,,2,8,1,100,2,,,,,17,1,,2,8,1,100,2
2002,12,14,13,27,29.1,,,CHINA:  GANSU PROVINCE:  YUMNE,39.736,97.443,22,5.5,,2,1,,,,,,3,13380,4,,,2,1,,,,,,3,13380,4,,
2002,12,24,17,3,2.9,,,IRAN:  KERMANSHAH,34.594,47.454,33,5.2,,,,,,15,1,,3,3000,4,3000,4,,,,,15,1,,3,3000,4,,
2002,12,25,12,57,3.2,,,CHINA:  XINJIANG:  WUQIA,39.57,75.254,10,5.7,,,,,,,,,1,,2,,,,,,,,,,1,,2,,
2002,12,25,19,13,42.7,,,AFGHANISTAN:  JALALABAD,35.704,69.868,91,5.5,,,,,,,,,1,,,,,,,,,,,,1,,,,1
2003,1,11,17,45,30.6,,,IRAN:  KAZERUN  NURABAD,29.59,51.474,33,5.2,,,,,,,2,,3,650,3,650,3,,,,,,2,,3,650,3,1350,4
2003,1,20,8,43,6,2401,,SOLOMON ISLANDS:  HONIARA  SAN CRISTOBAL,-10.491,160.77,33,7.3,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,22,2,6,34.6,2402,,MEXICO:  VILLA DE ALVAREZ  COLIMA  TECOMAN  JALISCO,18.77,-104.104,24,7.5,8,29,1,,,300,3,,3,2005,4,6615,4,29,1,,,300,3,,3,2005,4,6615,4
2003,1,23,0,8,22.8,,,INDONESIA:  SUMBAWA ISLAND:  DOMPU,-8.807,118.524,33,5.5,6,,,,,2,1,,2,,,500,3,,,,,2,1,,2,,,500,3
2003,1,26,19,57,3.2,,,ITALY:  SPINELLO  SANTA SOFIA  BAGNO DI ROMAGNA,43.883,11.96,7,4.7,7,,,,,,,,1,,,,1,,,,,,,,1,,,,1
2003,1,27,5,26,23,,,TURKEY:  SAGLAMTAS  PULUMUR,39.5,39.878,10,6.1,,1,1,,,,2,,1,,,,,1,1,,,,2,,1,,,,2
